,citations,pet_resp,us_cite
0,"[u'284 U.S. 299', u'282 U.S. 359', u'364 U.S. 587', u'508 U.S. 129', u'524 U.S. 125', u'517 U.S. 292', u'508 U.S. 223', u'439 U.S. 522', u'531 U.S. 1149', u'535 U.S. 1029', u'535 U.S. 1072', u'535 U.S. 1087', u'537 U.S. 857', u'531 U.S. 1021', u'527 U.S. 1010', u'544 U.S. 945', u'525 U.S. 1033', u'517 U.S. 1105', u'543 U.S. 978', u'523 U.S. 1112', u'432 U.S. 137', u'537 U.S. 1242', u'538 U.S. 955', u'533 U.S. 940', u'528 U.S. 892', u'525 U.S. 1056', u'518 U.S. 1020', u'500 U.S. 919', u'502 U.S. 823', u'520 U.S. 1281', u'528 U.S. 897', u'537 U.S. 1071', u'513 U.S. 1181', u'537 U.S. 1071', u'544 U.S. 945', u'524 U.S. 125', u'500 U.S. 919', u'502 U.S. 823', u'520 U.S. 1281', u'508 U.S. 129', u'537 U.S. 1242', u'538 U.S. 955', u'535 U.S. 1029', u'535 U.S. 1072', u'535 U.S. 1087', u'537 U.S. 857', u'528 U.S. 897', u'528 U.S. 892', u'527 U.S. 1010', u'525 U.S. 1033', u'518 U.S. 1020', u'439 U.S. 522', u'525 U.S. 1056']",1,553 U.S. 507
1,"[u'544 U.S. 696', u'543 U.S. 371', u'494 U.S. 152', u'492 U.S. 33', u'348 U.S. 121', u'524 U.S. 125', u'531 U.S. 1021', u'544 U.S. 945', u'543 U.S. 978', u'475 U.S. 1082', u'500 U.S. 919', u'502 U.S. 823', u'536 U.S. 960', u'519 U.S. 148', u'507 U.S. 680', u'510 U.S. 1073', u'503 U.S. 591', u'475 U.S. 1082', u'500 U.S. 919', u'502 U.S. 823', u'543 U.S. 978', u'531 U.S. 1021', u'543 U.S. 371', u'516 U.S. 1015', u'544 U.S. 945', u'519 U.S. 148', u'348 U.S. 121', u'536 U.S. 960', u'503 U.S. 519', u'507 U.S. 680', u'492 U.S. 33', u'494 U.S. 152', u'544 U.S. 696', u'524 U.S. 125']",1,553 U.S. 507
2,"[u'446 U.S. 398', u'546 U.S. 481', u'442 U.S. 100', u'358 U.S. 415', u'348 U.S. 121', u'415 U.S. 814', u'502 U.S. 215', u'358 U.S. 169', u'498 U.S. 103', u'444 U.S. 37', u'401 U.S. 808', u'437 U.S. 54', u'435 U.S. 6', u'508 U.S. 223', u'287 U.S. 435', u'496 U.S. 617', u'404 U.S. 336', u'524 U.S. 1', u'531 U.S. 1021', u'544 U.S. 945', u'503 U.S. 291', u'537 U.S. 1071', u'531 U.S. 1021', u'537 U.S. 1071', u'531 U.S. 784', u'537 U.S. 1071', u'435 U.S. 6', u'446 U.S. 398', u'502 U.S. 215', u'546 U.S. 481', u'435 U.S. 6', u'446 U.S. 398', u'358 U.S. 415', u'358 U.S. 169', u'287 U.S. 435', u'508 U.S. 223', u'444 U.S. 37', u'544 U.S. 945', u'442 U.S. 100', u'415 U.S. 814', u'498 U.S. 103', u'404 U.S. 336', u'401 U.S. 808', u'503 U.S. 291', u'348 U.S. 121', u'524 U.S. 1', u'437 U.S. 54']",0,553 U.S. 507
3,"[u'286 U.S. 427', u'377 U.S. 360', u'446 U.S. 398', u'364 U.S. 587', u'500 U.S. 453', u'531 U.S. 12', u'508 U.S. 129', u'540 U.S. 581', u'358 U.S. 415', u'385 U.S. 589', u'483 U.S. 350', u'498 U.S. 103', u'524 U.S. 125', u'519 U.S. 337', u'435 U.S. 6', u'439 U.S. 522', u'527 U.S. 1027', u'404 U.S. 336', u'350 U.S. 846', u'544 U.S. 991', u'513 U.S. 878', u'532 U.S. 200', u'500 U.S. 1223', u'531 U.S. 1021', u'243 U.S. 476', u'511 U.S. 39', u'544 U.S. 945', u'519 U.S. 999', u'543 U.S. 978', u'319 U.S. 503', u'528 U.S. 892', u'500 U.S. 919', u'502 U.S. 823', u'520 U.S. 1281', u'502 U.S. 809', u'536 U.S. 960', u'531 U.S. 974', u'537 U.S. 1071', u'513 U.S. 1181', u'518 U.S. 1020', u'344 U.S. 218', u'519 U.S. 482', u'517 U.S. 1187', u'508 U.S. 439', u'511 U.S. 39', u'537 U.S. 1071', u'544 U.S. 945', u'543 U.S. 978', u'524 U.S. 125', u'498 U.S. 103', u'508 U.S. 129', u'508 U.S. 439', u'286 U.S. 427', u'540 U.S. 581', u'532 U.S. 200', u'519 U.S. 337', u'502 U.S. 809', u'513 U.S. 878', u'531 U.S. 1021', u'483 U.S. 350', u'528 U.S. 892', u'531 U.S. 974', u'527 U.S. 1027', u'519 U.S. 999', u'518 U.S. 1020', u'513 U.S. 1181', u'520 U.S. 1281', u'439 U.S. 522', u'517 U.S. 1187', u'319 U.S. 503', u'350 U.S. 846', u'536 U.S. 960', u'500 U.S. 919', u'502 U.S. 823', u'500 U.S. 1223', u'446 U.S. 398', u'435 U.S. 6', u'500 U.S. 453', u'377 U.S. 360', u'385 U.S. 589', u'519 U.S. 482', u'404 U.S. 336', u'531 U.S. 12', u'243 U.S. 476', u'358 U.S. 415', u'364 U.S. 587', u'344 U.S. 218']",0,553 U.S. 507
4,"[u'545 U.S. 231', u'470 U.S. 564', u'429 U.S. 252', u'476 U.S. 79', u'479 U.S. 538', u'500 U.S. 614', u'505 U.S. 42', u'500 U.S. 352', u'484 U.S. 231', u'537 U.S. 322', u'545 U.S. 231', u'492 U.S. 302', u'499 U.S. 400', u'530 U.S. 133', u'546 U.S. 333', u'380 U.S. 202', u'338 U.S. 49', u'476 U.S. 79', u'492 U.S. 302', u'479 U.S. 538', u'484 U.S. 231', u'545 U.S. 231', u'546 U.S. 333', u'380 U.S. 202', u'545 U.S. 231', u'476 U.S. 79', u'537 U.S. 322', u'429 U.S. 252', u'530 U.S. 133', u'338 U.S. 49', u'470 U.S. 564', u'546 U.S. 333', u'500 U.S. 352', u'505 U.S. 42', u'500 U.S. 614', u'499 U.S. 400']",1,552 U.S. 472
5,"[u'470 U.S. 564', u'429 U.S. 252', u'476 U.S. 79', u'443 U.S. 526', u'420 U.S. 162', u'498 U.S. 411', u'500 U.S. 352', u'471 U.S. 222', u'443 U.S. 307', u'515 U.S. 900', u'537 U.S. 322', u'545 U.S. 231', u'294 U.S. 587', u'306 U.S. 354', u'520 U.S. 471', u'546 U.S. 333', u'458 U.S. 613', u'333 U.S. 364', u'500 U.S. 352', u'545 U.S. 231', u'537 U.S. 322', u'476 U.S. 79', u'443 U.S. 307', u'333 U.S. 364', u'429 U.S. 252', u'520 U.S. 471', u'498 U.S. 411', u'443 U.S. 307', u'333 U.S. 364', u'470 U.S. 564', u'546 U.S. 333', u'294 U.S. 587', u'306 U.S. 354', u'471 U.S. 222', u'458 U.S. 613', u'443 U.S. 526', u'515 U.S. 900', u'420 U.S. 162']",1,552 U.S. 472
6,"[u'325 U.S. 398', u'405 U.S. 625', u'476 U.S. 79', u'523 U.S. 392', u'500 U.S. 352', u'443 U.S. 2781', u'545 U.S. 162', u'463 U.S. 745', u'537 U.S. 322', u'545 U.S. 231', u'306 U.S. 354', u'499 U.S. 400', u'514 U.S. 765', u'546 U.S. 333', u'494 U.S. 1012', u'545 U.S. 1137', u'519 U.S. 860', u'519 U.S. 1023', u'528 U.S. 1145', u'100 U.S. 303', u'466 U.S. 668', u'380 U.S. 2023', u'507 U.S. 727', u'469 U.S. 412', u'426 U.S. 229', u'391 U.S. 510', u'545 U.S. 1137', u'545 U.S. 231', u'476 U.S. 79', u'545 U.S. 231', u'100 U.S. 303', u'514 U.S. 765', u'500 U.S. 352', u'537 U.S. 322', u'537 U.S. 322', u'325 U.S. 398', u'391 U.S. 510', u'469 U.S. 412', u'494 U.S. 1012', u'469 U.S. 412', u'443 U.S. 2781', u'466 U.S. 668', u'507 U.S. 727', u'545 U.S. 162', u'476 U.S. 79', u'100 U.S. 303', u'380 U.S. 2023', u'545 U.S. 162', u'306 U.S. 354', u'499 U.S. 400', u'523 U.S. 392', u'405 U.S. 625', u'519 U.S. 860', u'519 U.S. 1023', u'528 U.S. 1145', u'514 U.S. 765', u'545 U.S. 31', u'545 U.S. 1137', u'546 U.S. 333', u'500 U.S. 352', u'500 U.S. 352', u'325 U.S. 398', u'546 U.S. 333', u'519 U.S. 860', u'463 U.S. 745', u'426 U.S. 229']",0,552 U.S. 472
7,"[u'463 U.S. 1073', u'417 U.S. 484', u'540 U.S. 581', u'429 U.S. 125', u'507 U.S. 604', u'499 U.S. 187', u'435 U.S. 702', u'434 U.S. 575', u'427 U.S. 273', u'492 U.S. 158', u'544 U.S. 228', u'431 U.S. 324', u'469 U.S. 111', u'434 U.S. 192', u'434 U.S. 192', u'507 U.S. 604', u'429 U.S. 125', u'540 U.S. 581', u'507 U.S. 604', u'469 U.S. 111', u'544 U.S. 228', u'435 U.S. 702', u'463 U.S. 1073', u'499 U.S. 187', u'429 U.S. 125', u'417 U.S. 484', u'492 U.S. 158', u'492 U.S. 158', u'540 U.S. 581', u'434 U.S. 575', u'431 U.S. 324', u'427 U.S. 273']",1,554 U.S. 135
8,"[u'488 U.S. 204', u'529 U.S. 576', u'499 U.S. 244', u'540 U.S. 581', u'507 U.S. 604', u'431 U.S. 324', u'499 U.S. 187', u'427 U.S. 307', u'492 U.S. 158', u'469 U.S. 111', u'487 U.S. 977', u'434 U.S. 192', u'507 U.S. 604', u'499 U.S. 187', u'469 U.S. 111', u'540 U.S. 581', u'427 U.S. 307', u'431 U.S. 324', u'487 U.S. 977', u'492 U.S. 158', u'529 U.S. 576', u'499 U.S. 244', u'488 U.S. 204']",1,554 U.S. 135
9,"[u'463 U.S. 1073', u'435 U.S. 702', u'460 U.S. 226', u'540 U.S. 581', u'507 U.S. 604', u'499 U.S. 187', u'492 U.S. 158', u'544 U.S. 228', u'512 U.S. 504', u'469 U.S. 111', u'434 U.S. 192', u'427 U.S. 400', u'507 U.S. 604', u'507 U.S. 604', u'492 U.S. 158', u'540 U.S. 581', u'507 U.S. 604', u'544 U.S. 228', u'435 U.S. 702', u'499 U.S. 187', u'463 U.S. 1073', u'469 U.S. 111', u'492 U.S. 158', u'460 U.S. 226', u'472 U.S. 400', u'434 U.S. 192', u'512 U.S. 504']",0,554 U.S. 135
