,citations,pet_resp,us_cite
0,"[u'523 U.S. 224', u'548 U.S. 291', u'533 U.S. 167', u'461 U.S. 352', u'358 U.S. 169', u'540 U.S. 526', u'543 U.S. 1', u'486 U.S. 825', u'544 U.S. 13', u'415 U.S. 566', u'385 U.S. 554', u'495 U.S. 575', u'397 U.S. 112', u'242 U.S. 27', u'444 U.S. 394', u'333 U.S. 483', u'513 U.S. 64', u'537 U.S. 371', u'533 U.S. 678', u'495 U.S. 575', u'544 U.S. 13', u'537 U.S. 371', u'523 U.S. 224', u'385 U.S. 554', u'495 U.S. 575', u'513 U.S. 64', u'533 U.S. 167', u'543 U.S. 1', u'444 U.S. 394', u'397 U.S. 112', u'486 U.S. 825', u'548 U.S. 291', u'540 U.S. 526', u'461 U.S. 352', u'415 U.S. 566', u'333 U.S. 483', u'242 U.S. 27', u'533 U.S. 678', u'358 U.S. 169']",1,555 U.S. 122
1,"[u'530 U.S. 466', u'470 U.S. 821', u'529 U.S. 848', u'461 U.S. 352', u'491 U.S. 164', u'544 U.S. 13', u'495 U.S. 575', u'343 U.S. 579', u'495 U.S. 575', u'544 U.S. 13', u'491 U.S. 164', u'511 U.S. 244', u'470 U.S. 821', u'343 U.S. 579', u'461 U.S. 352', u'530 U.S. 466', u'529 U.S. 848']",1,555 U.S. 122
2,"[u'524 U.S. 308', u'545 U.S. 546', u'511 U.S. 825', u'297 U.S. 124', u'524 U.S. 125', u'537 U.S. 393', u'495 U.S. 575', u'338 U.S. 680', u'444 U.S. 394', u'513 U.S. 945', u'526 U.S. 1041', u'435 U.S. 906', u'333 U.S. 483', u'537 U.S. 1095', u'539 U.S. 952', u'393 U.S. 286', u'423 U.S. 87', u'543 U.S. 1111', u'456 U.S. 913', u'242 U.S. 27', u'543 U.S. 1111', u'546 U.S. 913', u'546 U.S. 913', u'435 U.S. 906', u'537 U.S. 393', u'242 U.S. 27', u'511 U.S. 825']",0,555 U.S. 122
3,"[u'519 U.S. 452', u'517 U.S. 25', u'544 U.S. 431', u'474 U.S. 361', u'489 U.S. 141', u'531 U.S. 341', u'467 U.S. 837', u'505 U.S. 504', u'530 U.S. 363', u'529 U.S. 120', u'487 U.S. 131', u'458 U.S. 141', u'369 U.S. 663', u'529 U.S. 861', u'470 U.S. 821', u'312 U.S. 52', u'479 U.S. 481', u'169 U.S. 613', u'479 U.S. 1', u'537 U.S. 51', u'347 U.S. 656', u'529 U.S. 89', u'412 U.S. 645', u'505 U.S. 504', u'458 U.S. 141', u'312 U.S. 52', u'479 U.S. 1', u'458 U.S. 141', u'531 U.S. 341', u'529 U.S. 861', u'530 U.S. 363', u'518 U.S. 470', u'529 U.S. 120', u'474 U.S. 361', u'519 U.S. 452', u'470 U.S. 821', u'467 U.S. 837', u'544 U.S. 431', u'412 U.S. 645', u'479 U.S. 481', u'489 U.S. 141', u'529 U.S. 861', u'518 U.S. 470', u'517 U.S. 25', u'537 U.S. 51', u'529 U.S. 89', u'487 U.S. 131', u'369 U.S. 663', u'169 U.S. 613', u'347 U.S. 656']",1,555 U.S. 555
4,"[u'453 U.S. 571', u'519 U.S. 452', u'544 U.S. 431', u'531 U.S. 341', u'530 U.S. 363', u'458 U.S. 141', u'514 U.S. 280', u'529 U.S. 861', u'470 U.S. 821', u'479 U.S. 481', u'518 U.S. 470', u'537 U.S. 51', u'272 U.S. 1', u'519 U.S. 452', u'470 U.S. 821', u'518 U.S. 470', u'544 U.S. 431', u'529 U.S. 861', u'458 U.S. 141', u'537 U.S. 51', u'453 U.S. 571', u'531 U.S. 341', u'272 U.S. 1', u'514 U.S. 280', u'530 U.S. 363', u'479 U.S. 481']",1,555 U.S. 555
5,"[u'422 U.S. 405', u'519 U.S. 452', u'544 U.S. 431', u'489 U.S. 141', u'538 U.S. 254', u'509 U.S. 209', u'531 U.S. 341', u'479 U.S. 272', u'529 U.S. 576', u'505 U.S. 504', u'496 U.S. 72', u'529 U.S. 120', u'373 U.S. 132', u'505 U.S. 88', u'529 U.S. 861', u'508 U.S. 402', u'486 U.S. 174', u'471 U.S. 707', u'430 U.S. 519', u'335 U.S. 345', u'518 U.S. 322', u'518 U.S. 470', u'421 U.S. 684', u'514 U.S. 645', u'529 U.S. 344', u'402 U.S. 637', u'485 U.S. 495', u'458 U.S. 654', u'514 U.S. 87', u'464 U.S. 238', u'323 U.S. 134', u'537 U.S. 51', u'320 U.S. 277', u'529 U.S. 89', u'533 U.S. 218', u'531 U.S. 341', u'335 U.S. 345', u'320 U.S. 277', u'509 U.S. 209', u'518 U.S. 470', u'323 U.S. 134', u'496 U.S. 72', u'485 U.S. 495', u'505 U.S. 504', u'537 U.S. 51', u'544 U.S. 431', u'505 U.S. 88', u'464 U.S. 238', u'489 U.S. 141', u'529 U.S. 120', u'422 U.S. 405', u'538 U.S. 254', u'514 U.S. 645', u'430 U.S. 519', u'471 U.S. 707', u'531 U.S. 341', u'529 U.S. 89', u'531 U.S. 341', u'373 U.S. 132', u'479 U.S. 272', u'518 U.S. 322', u'458 U.S. 654', u'519 U.S. 452', u'529 U.S. 576', u'529 U.S. 344', u'514 U.S. 87', u'486 U.S. 174', u'529 U.S. 861', u'402 U.S. 637', u'421 U.S. 684', u'533 U.S. 218', u'508 U.S. 402']",0,555 U.S. 555
6,"[u'422 U.S. 405', u'460 U.S. 325', u'524 U.S. 742', u'548 U.S. 53', u'524 U.S. 775', u'458 U.S. 219', u'510 U.S. 17', u'431 U.S. 324', u'527 U.S. 526', u'478 U.S. 501', u'513 U.S. 352', u'477 U.S. 57', u'405 U.S. 117', u'536 U.S. 101', u'445 U.S. 622', u'542 U.S. 129', u'490 U.S. 228', u'519 U.S. 337', u'443 U.S. 193', u'542 U.S. 129', u'524 U.S. 742', u'548 U.S. 53', u'405 U.S. 117', u'524 U.S. 624', u'323 U.S. 134', u'519 U.S. 337', u'542 U.S. 129', u'527 U.S. 526', u'524 U.S. 775', u'513 U.S. 352', u'490 U.S. 228', u'478 U.S. 501', u'445 U.S. 622', u'422 U.S. 405', u'524 U.S. 742', u'443 U.S. 193', u'431 U.S. 324', u'513 U.S. 352', u'524 U.S. 775', u'527 U.S. 526', u'524 U.S. 775', u'542 U.S. 129', u'405 U.S. 117', u'519 U.S. 337', u'460 U.S. 325', u'510 U.S. 17', u'536 U.S. 101', u'477 U.S. 57', u'510 U.S. 17', u'458 U.S. 219']",1,555 U.S. 271
7,"[u'415 U.S. 36', u'524 U.S. 742', u'548 U.S. 53', u'524 U.S. 775', u'478 U.S. 788', u'524 U.S. 742', u'548 U.S. 53', u'478 U.S. 788', u'415 U.S. 36', u'548 U.S. 53', u'524 U.S. 775']",1,555 U.S. 271
8,"[u'477 U.S. 242', u'424 U.S. 1', u'524 U.S. 742', u'467 U.S. 837', u'532 U.S. 268', u'535 U.S. 106', u'499 U.S. 244', u'537 U.S. 186', u'505 U.S. 469', u'524 U.S. 775', u'487 U.S. 131', u'429 U.S. 125', u'547 U.S. 1003', u'519 U.S. 337', u'323 U.S. 134', u'467 U.S. 822', u'489 U.S. 235', u'547 U.S. 1003', u'519 U.S. 337', u'489 U.S. 235', u'505 U.S. 469', u'544 U.S. 349', u'532 U.S. 2', u'477 U.S. 242', u'537 U.S. 186', u'424 U.S. 1', u'467 U.S. 837', u'323 U.S. 134']",0,555 U.S. 271
9,"[u'398 U.S. 144', u'483 U.S. 635', u'360 U.S. 564', u'516 U.S. 299', u'403 U.S. 388', u'520 U.S. 397', u'543 U.S. 194', u'462 U.S. 367', u'438 U.S. 478', u'542 U.S. 367', u'489 U.S. 378', u'503 U.S. 115', u'355 U.S. 41', u'534 U.S. 61', u'523 U.S. 574', u'442 U.S. 228', u'544 U.S. 336', u'511 U.S. 825', u'510 U.S. 471', u'490 U.S. 386', u'339 U.S. 949', u'457 U.S. 800', u'547 U.S. 250', u'502 U.S. 224', u'507 U.S. 163', u'434 U.S. 1087', u'472 U.S. 511', u'436 U.S. 658', u'457 U.S. 731', u'478 U.S. 265', u'100 U.S. 500', u'423 U.S. 362', u'127 U.S. 507', u'533 U.S. 194', u'416 U.S. 232', u'487 U.S. 412', u'500 U.S. 226', u'534 U.S. 506', u'517 U.S. 456', u'272 U.S. 1', u'534 U.S. 1', u'426 U.S. 229', u'504 U.S. 158', u'403 U.S. 388', u'507 U.S. 163', u'416 U.S. 232', u'472 U.S. 511', u'438 U.S. 478', u'510 U.S. 471', u'438 U.S. 478', u'339 U.S. 949', u'500 U.S. 226', u'472 U.S. 511', u'516 U.S. 299', u'490 U.S. 386', u'534 U.S. 1', u'534 U.S. 506', u'510 U.S. 471', u'436 U.S. 658', u'398 U.S. 144', u'100 U.S. 500', u'503 U.S. 115']",1,556 U.S. 662
